Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr22	16051347	8.096992	0.000000
chr22	16052618	8.131520	0.010291
chr22	16053624	8.131967	0.018472
chr22	16053659	8.132625	0.018756
chr22	16053758	8.129606	0.019561
chr22	16054713	8.024772	0.027325
chr22	16054960	8.026921	0.029307
chr22	16055070	5.683148	0.030190
chr22	16055171	5.685965	0.030764
chr22	16055207	5.689620	0.030969
chr22	16059734	4.419419	0.056726
chr22	16061016	4.418359	0.062391
chr22	16061342	4.420365	0.063832
chr22	16069374	4.310594	0.099336
chr22	16072292	4.298607	0.111915
chr22	16076927	4.299297	0.131839
chr22	16079493	4.299090	0.142871
chr22	16099437	4.311456	0.228612
chr22	16100059	4.324743	0.231293
chr22	16102325	4.328264	0.241093
chr22	16103902	4.328034	0.247919
chr22	16110036	4.328022	0.274467
chr22	16112336	4.333159	0.284422
chr22	16136814	4.347667	0.390489
chr22	16140628	4.393240	0.407071
chr22	16173179	4.396719	0.550075
chr22	16201033	4.396719	0.672541
chr22	16227431	4.406111	0.788606
chr22	16231423	4.406429	0.806195
chr22	16252600	4.410265	0.899510
chr22	16267521	3.666095	0.965315
chr22	16299536	4.406680	1.082685
chr22	16317416	4.413604	1.161477
chr22	16343553	4.413711	1.276835
chr22	16343811	4.413185	1.277974
chr22	16344414	4.413828	1.280635
chr22	16344572	4.413447	1.281333
chr22	16345582	4.323781	1.285790
chr22	16346071	4.234665	1.287904
chr22	16347194	4.159449	1.292660
chr22	16351379	3.611289	1.310067
chr22	16351604	2.747202	1.310880
chr22	16351852	2.584942	1.311561
chr22	16352357	1.672110	1.312867
chr22	16364825	1.663702	1.333714
chr22	16407120	0.111387	1.404081
chr22	16473585	0.111391	1.411484
chr22	16477443	0.113358	1.411914
chr22	16489239	0.123635	1.413251
chr22	16494095	0.123635	1.413851
chr22	16494187	0.134713	1.413863
chr22	16494473	0.133739	1.413901
chr22	16494682	0.119061	1.413929
chr22	16504399	0.114006	1.415086
chr22	16509940	0.114006	1.415718
chr22	16529569	0.113745	1.417956
chr22	16560750	0.113703	1.421502
chr22	16587208	0.113914	1.424511
chr22	16598987	0.115579	1.425852
chr22	16609899	0.133020	1.427114
chr22	16616145	0.161165	1.427944
chr22	16619031	0.210930	1.428410
chr22	16628321	0.248368	1.430369
chr22	16629152	0.288016	1.430576
chr22	16630874	0.340405	1.431071
chr22	16631921	0.340591	1.431428
chr22	16632034	0.340698	1.431466
chr22	16633820	0.415412	1.432075
chr22	16644918	0.415501	1.436685
chr22	16649282	0.410539	1.438498
chr22	16660797	0.421056	1.443226
chr22	16662015	0.431139	1.443739
chr22	16682084	0.674364	1.452391
chr22	16690041	0.789844	1.457757
chr22	16851640	0.502016	1.585395
chr22	16852708	0.495982	1.585931
chr22	16853706	0.510451	1.586426
chr22	16854402	0.602409	1.586781
chr22	16855274	2.680401	1.587307
chr22	16855303	2.691935	1.587384
chr22	16855476	0.858770	1.587850
chr22	16855618	0.417739	1.587972
chr22	16855788	0.385155	1.588043
chr22	16856188	0.344968	1.588197
chr22	16858253	0.285113	1.588910
chr22	16858287	0.224307	1.588919
chr22	16858684	0.194746	1.589008
chr22	16858968	0.179155	1.589064
chr22	16862245	0.179703	1.589651
chr22	16863070	2.247072	1.589799
chr22	16865262	2.847633	1.594725
chr22	16870393	1.906357	1.609336
chr22	16871440	2.538908	1.611332
chr22	16877135	2.177389	1.625791
chr22	16878039	1.442670	1.627759
chr22	16878423	0.522005	1.628313
chr22	16879530	0.387496	1.628891
chr22	16886974	0.387302	1.631776
chr22	16888577	0.390984	1.632396
chr22	16888900	0.396414	1.632523
chr22	16890125	0.397306	1.633008
