Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr19	253938	0.154179	0.000000
chr19	256859	0.154528	0.000450
chr19	259772	0.154530	0.000900
chr19	260970	0.154697	0.001086
chr19	261033	0.154888	0.001095
chr19	266034	0.347963	0.001870
chr19	266544	1.256622	0.002047
chr19	266888	1.333840	0.002480
chr19	267039	1.542843	0.002681
chr19	267213	2.171166	0.002950
chr19	267614	1.108918	0.003820
chr19	269380	0.711702	0.005779
chr19	276245	1.791471	0.010664
chr19	277717	2.004476	0.013301
chr19	277776	3.133699	0.013420
chr19	279645	4.135431	0.019277
chr19	280299	4.235347	0.021981
chr19	281360	6.164471	0.026475
chr19	287129	6.113884	0.062038
chr19	288246	6.135026	0.068867
chr19	288320	6.136509	0.069321
chr19	292082	8.817796	0.092406
chr19	292583	9.059132	0.096824
chr19	292901	9.062522	0.099705
chr19	292940	9.072171	0.100058
chr19	293346	9.668248	0.103742
chr19	293671	9.667740	0.106884
chr19	293828	9.689680	0.108402
chr19	293913	9.702478	0.109225
chr19	293934	9.722288	0.109429
chr19	294212	10.116202	0.112132
chr19	294457	11.344276	0.114610
chr19	294526	11.266034	0.115393
chr19	295131	11.266034	0.122209
chr19	295295	9.941979	0.124057
chr19	296458	6.792988	0.135619
chr19	301619	3.625604	0.170678
chr19	301639	1.626386	0.170750
chr19	301668	0.394452	0.170798
chr19	304499	0.394835	0.171914
chr19	304526	0.394972	0.171925
chr19	311037	0.435683	0.174497
chr19	311825	0.470315	0.174840
chr19	316040	0.440963	0.176822
chr19	319822	0.286325	0.178490
chr19	327182	0.272242	0.180597
chr19	327323	0.262711	0.180636
chr19	327683	0.256532	0.180730
chr19	327821	0.257003	0.180766
chr19	327998	0.253078	0.180811
chr19	328855	0.251834	0.181028
chr19	330263	0.253443	0.181383
chr19	331028	0.255561	0.181576
chr19	334474	0.291745	0.182457
chr19	334673	0.293046	0.182515
chr19	335055	0.438013	0.182627
chr19	335946	0.357945	0.183017
chr19	340700	0.615748	0.184719
chr19	344053	0.615948	0.186784
chr19	348743	0.614085	0.189672
chr19	349160	0.613739	0.189929
chr19	352341	0.612330	0.191881
chr19	354248	0.781071	0.193049
chr19	358990	2.491049	0.196752
chr19	362283	2.769234	0.204955
chr19	363127	5.350521	0.207293
chr19	364695	10.096924	0.215682
chr19	366451	10.228040	0.233413
chr19	366680	10.399406	0.235755
chr19	367089	11.561807	0.240008
chr19	367178	11.561807	0.241037
chr19	367313	17.195028	0.242598
chr19	372661	17.202900	0.334557
chr19	372775	17.202900	0.336518
chr19	373897	17.206286	0.355820
chr19	376382	7.388682	0.398577
chr19	376585	4.721485	0.400077
chr19	379003	4.764750	0.411494
chr19	383057	8.573564	0.430810
chr19	384644	8.577890	0.444416
chr19	384724	8.579274	0.445103
chr19	384812	8.581590	0.445858
chr19	387791	8.582095	0.471422
chr19	388413	8.581649	0.476760
chr19	389397	8.580927	0.485205
chr19	389805	8.564287	0.488706
chr19	389873	8.553290	0.489288
chr19	390206	8.553899	0.492136
chr19	390341	8.135199	0.493291
chr19	390627	4.926920	0.495618
chr19	391296	3.440202	0.498914
chr19	391569	3.045261	0.499853
chr19	391794	2.235299	0.500538
chr19	393044	2.178615	0.503332
chr19	396948	3.423037	0.511837
chr19	397111	3.491948	0.512395
chr19	397531	10.092467	0.513862
chr19	397896	12.838056	0.517546
chr19	401714	14.115863	0.566562
chr19	402491	14.691555	0.577530
chr19	405929	14.656031	0.628039
chr19	406370	9.024615	0.634502
chr19	409977	7.541335	0.667054
chr19	411849	3.348713	0.681172
chr19	412730	3.236714	0.684122
chr19	415294	3.225904	0.692421
chr19	416231	3.245613	0.695443
chr19	416449	2.819039	0.696151
chr19	416834	3.833343	0.697236
chr19	416963	4.096770	0.697731
chr19	417014	4.101984	0.697940
chr19	417262	4.468779	0.698957
chr19	417396	6.619097	0.699556
chr19	417556	8.453210	0.700615
chr19	417714	9.112016	0.701950
chr19	417737	9.827521	0.702160
chr19	418178	9.888810	0.706494
chr19	418436	9.886459	0.709045
chr19	418507	9.881004	0.709747
chr19	418556	9.876199	0.710231
chr19	418624	9.876199	0.710903
chr19	418769	9.867500	0.712335
chr19	418786	9.857626	0.712503
chr19	419075	9.849276	0.715352
chr19	419204	9.849276	0.716622
chr19	419407	9.824821	0.718622
chr19	419471	9.800253	0.719250
chr19	419498	9.768539	0.719515
chr19	419531	9.762374	0.719837
chr19	420755	8.004613	0.731787
chr19	422238	1.962728	0.743657
chr19	425559	1.196617	0.750176
chr19	428608	0.983514	0.753824
chr19	431029	1.425222	0.756205
chr19	431187	1.848451	0.756430
chr19	436690	1.944900	0.766602
chr19	438357	2.110277	0.769844
chr19	438584	2.194038	0.770324
chr19	438916	2.200716	0.771052
chr19	439393	2.200923	0.772102
chr19	440478	2.190107	0.774490
chr19	441195	2.171768	0.776060
chr19	441243	2.156108	0.776164
chr19	446887	2.153382	0.788333
chr19	448041	2.151170	0.790818
chr19	450282	2.149898	0.795639
chr19	450515	2.148343	0.796140
chr19	453750	2.143440	0.803090
chr19	454430	2.145992	0.804547
