Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr14	19619850	2.758648	0.000000
chr14	19789146	2.767203	0.467028
chr14	19789574	2.766860	0.468212
chr14	19971095	2.764046	0.970456
chr14	20148498	2.762211	1.460806
chr14	20194876	1.059809	1.588912
chr14	20197081	0.796935	1.591248
chr14	20198171	0.798635	1.592117
chr14	20199443	0.800965	1.593133
chr14	20203125	0.783735	1.596082
chr14	20209610	0.644428	1.601165
chr14	20212635	1.798225	1.603114
chr14	20212642	2.958451	1.603127
chr14	20212709	4.720162	1.603325
chr14	20213006	4.721867	1.604727
chr14	20213037	4.670679	1.604873
chr14	20213055	4.597272	1.604957
chr14	20213181	1.994139	1.605536
chr14	20213937	0.592999	1.607044
chr14	20214907	0.599384	1.607619
chr14	20215378	0.639425	1.607902
chr14	20215448	0.707874	1.607946
chr14	20215989	3.673081	1.608329
chr14	20216298	3.719935	1.609464
chr14	20219125	5.638853	1.619981
chr14	20219418	5.646802	1.621633
chr14	20220961	5.645109	1.630346
chr14	20221499	5.645430	1.633383
chr14	20221500	1.410742	1.633388
chr14	20222854	1.412178	1.635299
chr14	20223463	1.413476	1.636159
chr14	20224003	1.427828	1.636922
chr14	20224967	1.788104	1.638298
chr14	20225332	1.893157	1.638951
chr14	20225892	1.967346	1.640011
chr14	20226448	1.967079	1.641105
chr14	20226495	1.959432	1.641197
chr14	20226662	1.949300	1.641525
chr14	20226692	1.938263	1.641583
chr14	20226891	1.938158	1.641969
chr14	20227304	1.937090	1.642769
chr14	20227820	1.935320	1.643769
chr14	20227924	1.933754	1.643970
chr14	20228302	1.935404	1.644701
chr14	20228864	1.957097	1.645789
chr14	20229206	2.391149	1.646458
chr14	20229929	2.455671	1.648187
chr14	20229960	2.513843	1.648263
chr14	20230766	2.930653	1.650289
chr14	20230821	3.172506	1.650450
chr14	20231211	3.325224	1.651688
chr14	20231614	3.327322	1.653028
chr14	20231914	3.447006	1.654026
chr14	20232038	3.551766	1.654453
chr14	20232146	3.551797	1.654837
chr14	20232981	3.554643	1.657803
chr14	20233527	3.613205	1.659743
chr14	20233840	3.778764	1.660874
chr14	20239246	3.291448	1.681302
chr14	20239479	2.672334	1.682069
chr14	20246129	2.672114	1.699840
chr14	20248828	2.670263	1.707052
chr14	20249879	2.671053	1.709859
chr14	20249968	2.672266	1.710097
chr14	20254570	3.563192	1.722394
chr14	20255790	3.561501	1.726741
chr14	20256614	3.687872	1.729676
chr14	20258891	3.709230	1.738073
chr14	20259003	3.709113	1.738489
chr14	20259223	3.715929	1.739305
chr14	20259936	3.668797	1.741954
chr14	20260241	3.668286	1.743073
chr14	20260443	3.668004	1.743814
chr14	20261105	3.667737	1.746242
chr14	20261361	3.669054	1.747181
chr14	20262019	3.671234	1.749596
chr14	20263385	3.696012	1.754611
chr14	20263425	3.715942	1.754758
chr14	20263825	3.722287	1.756245
chr14	20264019	3.730608	1.756967
chr14	20264912	3.728143	1.760298
chr14	20265201	3.818773	1.761376
chr14	20265369	3.851150	1.762017
chr14	20265636	3.859483	1.763046
chr14	20265855	3.857049	1.763891
chr14	20266386	3.860725	1.765939
chr14	20266414	3.871056	1.766047
chr14	20266487	3.870309	1.766330
chr14	20267014	6.393125	1.768369
chr14	20267945	6.420802	1.774321
chr14	20270664	5.898885	1.791779
chr14	20272479	2.053064	1.802486
chr14	20282652	0.701141	1.823372
chr14	20289283	0.822497	1.828021
chr14	20289803	1.723251	1.828449
chr14	20290377	1.723255	1.829438
chr14	20290683	1.719060	1.829965
chr14	20291217	1.397291	1.830883
chr14	20291286	1.155451	1.830980
chr14	20291539	0.994965	1.831272
chr14	20292331	1.443576	1.832060
chr14	20292344	1.864758	1.832079
chr14	20292485	1.830041	1.832342
chr14	20292680	1.792925	1.832698
chr14	20292796	1.456040	1.832906
chr14	20292853	0.729249	1.832989
chr14	20294131	0.713640	1.833921
chr14	20295349	0.703374	1.834791
chr14	20295510	0.692178	1.834904
chr14	20296010	0.687390	1.835250
chr14	20296510	0.606393	1.835594
chr14	20296658	0.433551	1.835683
chr14	20299291	0.423217	1.836825
chr14	20305047	4.764575	1.839261
chr14	20305431	2.690790	1.841091
chr14	20307689	1.262995	1.847166
chr14	20309685	1.261911	1.849687
chr14	20310852	1.581529	1.851160
chr14	20310923	1.582375	1.851272
chr14	20312088	1.627333	1.853116
chr14	20313371	1.631317	1.855204
chr14	20314561	1.629219	1.857145
chr14	20314958	1.611446	1.857792
chr14	20316038	1.614018	1.859532
chr14	20316092	1.613460	1.859619
chr14	20316128	1.613424	1.859677
chr14	20316521	1.613342	1.860311
chr14	20316839	1.615154	1.860824
chr14	20317648	1.606507	1.862131
chr14	20317747	1.596117	1.862290
chr14	20318541	1.595351	1.863557
chr14	20321350	1.595313	1.868039
chr14	20321604	1.596104	1.868444
chr14	20322165	1.596070	1.869339
chr14	20323037	1.596045	1.870731
chr14	20324510	1.596994	1.873082
chr14	20326909	1.597183	1.876913
chr14	20331117	1.598641	1.883634
chr14	20332855	1.602591	1.886413
chr14	20337127	1.652457	1.893259
chr14	20339402	1.910711	1.897018
chr14	20340311	1.994935	1.898755
chr14	20341264	2.003209	1.900656
chr14	20341497	3.344465	1.901123
chr14	20341577	4.090464	1.901391
chr14	20341620	6.533358	1.901566
chr14	20341645	8.796131	1.901730
chr14	20342866	8.801987	1.912470
chr14	20343449	8.823689	1.917601
chr14	20343557	8.849306	1.918554
