Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr21	10865933	1.291620	0.000000
chr21	10906723	0.496586	0.052685
chr21	10906915	0.424224	0.052781
chr21	10906989	0.419481	0.052812
chr21	10907208	0.416909	0.052904
chr21	10910347	0.409579	0.054212
chr21	10913441	0.408605	0.055480
chr21	10913973	0.356432	0.055697
chr21	10916916	0.340447	0.056746
chr21	10920018	0.338921	0.057802
chr21	10920041	0.338967	0.057810
chr21	10925289	0.336438	0.059589
chr21	10930954	0.336173	0.061495
chr21	10932768	0.328305	0.062105
chr21	10934273	0.328289	0.062599
chr21	10936230	0.311310	0.063241
chr21	10939624	0.304141	0.064298
chr21	10944086	0.301857	0.065655
chr21	10950631	0.300418	0.067630
chr21	10953459	0.299695	0.068480
chr21	10956723	0.272950	0.069458
chr21	10959806	0.258854	0.070300
chr21	10962411	0.250012	0.070974
chr21	10964139	0.239811	0.071406
chr21	10966825	0.230718	0.072050
chr21	10967767	0.224122	0.072268
chr21	10971566	0.224026	0.073119
chr21	10971951	0.222763	0.073205
chr21	10972245	0.222870	0.073271
chr21	10973329	0.222888	0.073512
chr21	10979098	0.222647	0.074798
chr21	10989915	0.222865	0.077207
chr21	10992232	0.222827	0.077723
chr21	10994487	0.227377	0.078225
chr21	10996929	0.231324	0.078781
chr21	10997541	0.518411	0.078922
chr21	11001104	5.117892	0.080769
chr21	11027304	5.114138	0.214858
chr21	11030426	5.234125	0.230824
chr21	11035767	5.036618	0.258780
chr21	11037138	3.694217	0.265685
chr21	11041034	3.693599	0.280078
chr21	11042513	1.139959	0.285541
chr21	11049019	1.134201	0.292957
chr21	11050160	1.143642	0.294251
chr21	11052182	1.150560	0.296564
chr21	11054925	1.800109	0.299720
chr21	11056650	1.835607	0.302825
chr21	11062035	1.840118	0.312710
chr21	11062900	1.844752	0.314301
chr21	11064109	1.990067	0.316532
chr21	11065122	2.182091	0.318548
chr21	11066305	2.185237	0.321129
chr21	11077856	2.166753	0.346371
chr21	11078262	2.162078	0.347250
chr21	11083847	2.105938	0.359326
chr21	11090599	1.276325	0.373545
chr21	11091243	1.257882	0.374367
chr21	11093359	1.249900	0.377028
chr21	11093362	1.194993	0.377032
chr21	11093820	1.142315	0.377580
chr21	11094222	1.153241	0.378039
chr21	11094529	1.045870	0.378393
chr21	11112900	1.911707	0.397606
chr21	11113436	2.677657	0.398631
chr21	11114350	2.672971	0.401079
chr21	11141997	2.614146	0.474978
chr21	11146187	2.607115	0.485931
chr21	11148415	2.602370	0.491740
chr21	11167248	2.590379	0.540751
chr21	11180246	2.604827	0.574420
chr21	11180808	2.594521	0.575884
chr21	11181017	2.535682	0.576426
chr21	11183021	2.056303	0.581508
chr21	11183830	1.930423	0.583172
chr21	11183983	1.819887	0.583467
chr21	11184199	0.179683	0.583860
chr21	11185781	0.000000	0.584144
chr21	14340641	0.628903	0.584144
chr21	14342756	0.611299	0.585474
chr21	14350083	0.614394	0.589953
chr21	14355368	0.617265	0.593200
chr21	14357834	0.671119	0.594723
chr21	14359730	0.715519	0.595995
chr21	14360890	0.717077	0.596825
chr21	14360978	0.718475	0.596888
chr21	14363043	0.720221	0.598372
chr21	14369207	0.725157	0.602811
chr21	14377426	0.726957	0.608771
chr21	14380374	0.727543	0.610914
chr21	14380671	0.726781	0.611130
chr21	14382505	0.727148	0.612463
chr21	14408582	0.729595	0.631425
chr21	14414872	0.732948	0.636014
chr21	14425542	0.813976	0.643835
chr21	14427021	0.894262	0.645039
chr21	14446016	0.941182	0.662025
chr21	14472259	2.408849	0.686725
chr21	14482326	2.429706	0.710975
chr21	14512148	0.821433	0.783433
chr21	14585453	0.831652	0.843648
chr21	14595264	1.477128	0.851808
chr21	14597009	1.488532	0.854385
chr21	14600130	1.519372	0.859031
chr21	14601415	1.517507	0.860983
chr21	14603577	0.753563	0.864264
chr21	14604361	0.070721	0.864855
chr21	14607040	0.070661	0.865045
chr21	14613033	0.086145	0.865468
chr21	14613203	0.086475	0.865483
chr21	14613701	0.108638	0.865526
chr21	14613993	0.109062	0.865557
chr21	14627705	0.033857	0.867053
chr21	14630588	0.019838	0.867151
chr21	14630955	0.009648	0.867158
chr21	14631595	0.003135	0.867164
chr21	14633424	0.002850	0.867170
chr21	14636906	0.002841	0.867180
chr21	14640400	0.002841	0.867190
chr21	14642464	0.002841	0.867195
chr21	14646553	0.002852	0.867207
