Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr16	84045	0.385028	0.000000
chr16	84170	0.496493	0.000048
chr16	85057	0.496790	0.000489
chr16	85065	0.490654	0.000492
chr16	85561	0.488585	0.000736
chr16	85658	0.488783	0.000783
chr16	88165	0.492232	0.002009
chr16	89475	0.542866	0.002653
chr16	91010	0.706548	0.003487
chr16	94808	0.627162	0.006170
chr16	95254	0.577207	0.006450
chr16	95481	0.530653	0.006581
chr16	97354	0.580680	0.007575
chr16	101263	0.862995	0.009845
chr16	103517	0.862358	0.011790
chr16	107275	0.873111	0.015031
chr16	110165	0.885571	0.017554
chr16	112775	0.885007	0.019865
chr16	113970	1.493257	0.020923
chr16	115072	1.656519	0.022568
chr16	115185	1.813886	0.022756
chr16	115657	1.801964	0.023612
chr16	117194	1.013170	0.026381
chr16	119019	0.920865	0.028230
chr16	119729	0.865700	0.028884
chr16	120334	0.858915	0.029408
chr16	121845	0.858147	0.030706
chr16	124161	0.859693	0.032693
chr16	128954	1.382686	0.036814
chr16	129277	2.404790	0.037260
chr16	130406	2.557003	0.039975
chr16	130853	2.586942	0.041118
chr16	133093	2.351927	0.046913
chr16	133878	1.761736	0.048759
chr16	133946	0.883588	0.048879
chr16	135652	0.876288	0.050387
chr16	136888	0.868074	0.051470
chr16	141659	0.852459	0.055611
chr16	142825	0.848778	0.056605
chr16	143503	0.819136	0.057181
chr16	145032	0.820380	0.058433
chr16	145282	0.496608	0.058638
chr16	145884	0.355464	0.058937
chr16	147705	0.356461	0.059585
chr16	147814	0.357280	0.059623
chr16	148009	0.357924	0.059693
chr16	152472	0.358292	0.061290
chr16	154844	0.358245	0.062140
chr16	155320	0.358630	0.062311
chr16	155358	0.358637	0.062325
chr16	155966	0.359261	0.062543
chr16	157141	0.359864	0.062965
chr16	161938	0.361533	0.064691
chr16	163351	0.364357	0.065202
chr16	163418	0.365861	0.065226
chr16	163598	0.369916	0.065292
chr16	163626	0.370075	0.065302
chr16	164935	0.377744	0.065787
chr16	167408	0.376867	0.066721
chr16	168534	0.366006	0.067145
chr16	168691	0.436038	0.067203
chr16	170328	0.339427	0.067917
chr16	175186	0.341879	0.069566
chr16	176743	0.339022	0.070098
chr16	180719	0.340437	0.071446
chr16	182467	0.342408	0.072041
chr16	184242	0.463058	0.072649
chr16	184390	0.658745	0.072717
chr16	185102	0.700184	0.073186
chr16	185123	1.062099	0.073201
chr16	187429	3.720726	0.075650
chr16	190005	3.721641	0.085235
chr16	192314	3.744287	0.093828
chr16	195176	3.643106	0.104544
chr16	198835	3.572899	0.117874
chr16	200073	3.572444	0.122298
chr16	201389	3.581654	0.126999
chr16	205035	0.483181	0.140058
chr16	211243	0.482846	0.143057
chr16	212649	0.468966	0.143736
chr16	221057	0.365371	0.147679
chr16	225653	0.269670	0.149358
chr16	228306	0.262077	0.150074
chr16	234364	0.260711	0.151661
chr16	234428	0.259820	0.151678
chr16	235490	0.258343	0.151954
chr16	240280	0.226856	0.153192
chr16	240895	0.226856	0.153331
chr16	241210	0.189383	0.153403
chr16	247888	0.187820	0.154667
chr16	252479	0.186740	0.155529
chr16	256278	0.186605	0.156239
chr16	259732	0.186125	0.156883
chr16	262299	0.185671	0.157361
chr16	264642	0.185574	0.157796
chr16	265159	0.185455	0.157892
