Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr18	11523	4.913878	0.000000
chr18	11543	6.288042	0.000098
chr18	11816	6.356876	0.001815
chr18	12092	6.598017	0.003569
chr18	12183	7.287963	0.004170
chr18	12716	8.141013	0.008054
chr18	12842	8.154481	0.009080
chr18	13034	3.211846	0.010646
chr18	51984	3.207321	0.135747
chr18	57731	2.002105	0.154180
chr18	59318	0.289213	0.157357
chr18	61355	0.285842	0.157946
chr18	69805	0.285276	0.160361
chr18	69836	0.285074	0.160370
chr18	73090	3.434850	0.161298
chr18	78172	7.214211	0.178754
chr18	85149	0.233123	0.229087
chr18	87505	0.233172	0.229637
chr18	87588	0.233172	0.229656
chr18	87933	0.233117	0.229736
chr18	91723	0.232957	0.230620
chr18	93276	0.232964	0.230982
chr18	99186	0.232973	0.232359
chr18	99779	0.233085	0.232497
chr18	100779	0.232828	0.232730
chr18	100825	0.232472	0.232740
chr18	100949	0.232487	0.232769
chr18	100977	0.232345	0.232776
chr18	112535	0.235725	0.235461
chr18	115574	0.444953	0.236178
chr18	122474	0.692879	0.239248
chr18	127159	0.727098	0.242494
chr18	127170	0.756869	0.242502
chr18	132301	0.756029	0.246385
chr18	132649	0.736223	0.246649
chr18	132671	0.716940	0.246665
chr18	135649	0.702652	0.248800
chr18	136305	0.681372	0.249261
chr18	136630	0.667223	0.249482
chr18	139767	0.667177	0.251575
chr18	143973	0.671560	0.254381
chr18	150399	1.062210	0.258697
chr18	154192	0.862875	0.262726
chr18	154457	0.756476	0.262954
chr18	159382	0.180272	0.266680
chr18	159885	0.050864	0.266771
chr18	160887	0.046040	0.266822
chr18	161240	0.043718	0.266838
chr18	161922	0.043069	0.266868
chr18	162039	0.042234	0.266873
chr18	164285	0.042879	0.266968
chr18	165098	0.044501	0.267003
chr18	165453	0.046780	0.267018
chr18	165503	0.049115	0.267021
chr18	166277	0.049139	0.267059
chr18	177063	0.049313	0.267589
chr18	177503	0.049455	0.267610
chr18	178007	0.049799	0.267635
chr18	179403	0.051862	0.267705
chr18	180486	0.108161	0.267761
chr18	182139	0.108161	0.267940
chr18	182253	0.114169	0.267952
chr18	182766	0.087912	0.268011
chr18	183621	0.050387	0.268086
chr18	184476	0.059288	0.268129
chr18	184704	0.285013	0.268143
chr18	185110	0.304968	0.268258
chr18	186998	0.066704	0.268834
chr18	188570	0.039808	0.268939
chr18	191751	0.039813	0.269065
chr18	193108	0.039358	0.269120
chr18	193162	0.029893	0.269122
chr18	194055	0.029495	0.269148
chr18	195405	0.029624	0.269188
chr18	195644	0.030342	0.269195
chr18	196829	0.029830	0.269231
chr18	199462	0.031554	0.269310
chr18	204232	0.031554	0.269460
chr18	207370	0.123655	0.269559
chr18	208998	0.129122	0.269761
chr18	209430	0.123607	0.269816
chr18	209527	0.115978	0.269828
chr18	210306	0.115978	0.269919
chr18	210453	0.099217	0.269936
chr18	212756	0.098341	0.270164
chr18	213151	0.098341	0.270203
chr18	213592	0.098151	0.270246
chr18	213606	0.097853	0.270248
chr18	213827	0.097705	0.270269
chr18	214951	0.097768	0.270379
chr18	214959	0.097436	0.270380
chr18	214991	0.097020	0.270383
chr18	215299	0.095871	0.270413
chr18	215345	0.095871	0.270417
chr18	216958	0.077775	0.270572
chr18	217379	0.067384	0.270605
chr18	217485	0.058091	0.270612
chr18	217866	0.052931	0.270634
chr18	218242	0.058975	0.270654
chr18	218285	0.069881	0.270657
chr18	218366	0.100088	0.270662
chr18	218695	0.267723	0.270695
chr18	218753	0.369166	0.270711
chr18	220071	0.189755	0.271197
chr18	220341	0.089765	0.271248
chr18	220658	0.033329	0.271277
chr18	221102	0.033102	0.271292
chr18	221131	0.029630	0.271293
chr18	222167	0.029124	0.271323
chr18	223185	0.028263	0.271353
chr18	223189	0.027296	0.271353
chr18	224184	0.027308	0.271380
chr18	225051	0.027395	0.271404
chr18	225608	0.027222	0.271419
