Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chrX_par2	154969038	0.673649	0.000000
chrX_par2	154969627	0.658886	0.000397
chrX_par2	154970447	0.653619	0.000937
chrX_par2	154972517	0.656683	0.002290
chrX_par2	154974015	0.660590	0.003274
chrX_par2	154976950	4.341994	0.005213
chrX_par2	154977448	5.723801	0.007375
chrX_par2	154978808	5.956272	0.015159
chrX_par2	154979339	6.029080	0.018322
chrX_par2	154982709	6.025702	0.038640
chrX_par2	154982739	6.025132	0.038821
chrX_par2	154983133	5.971920	0.041195
chrX_par2	154984317	5.963933	0.048265
chrX_par2	154984402	5.951775	0.048772
chrX_par2	154984651	5.954176	0.050254
chrX_par2	154985852	5.953909	0.057405
chrX_par2	154987147	5.951872	0.065116
chrX_par2	154987725	5.950368	0.068556
chrX_par2	154987881	5.950368	0.069484
chrX_par2	154990183	6.756279	0.083182
chrX_par2	154990627	10.156507	0.086182
chrX_par2	154992032	12.023480	0.100452
chrX_par2	154995314	19.425589	0.139913
chrX_par2	154996427	21.155665	0.161533
chrX_par2	154997107	21.155665	0.175919
chrX_par2	154997757	21.155665	0.189670
chrX_par2	154998312	21.081727	0.201412
chrX_par2	154998376	15.384583	0.202761
chrX_par2	154998442	5.387706	0.203776
chrX_par2	154999134	3.165503	0.207505
chrX_par2	154999705	1.836836	0.209312
chrX_par2	155001216	1.811689	0.212088
chrX_par2	155004280	1.812748	0.217639
chrX_par2	155004437	1.812233	0.217923
chrX_par2	155004636	1.811331	0.218284
chrX_par2	155006623	1.812857	0.221883
chrX_par2	155011926	1.784005	0.231497
chrX_par2	155012060	1.702356	0.231736
chrX_par2	155012639	1.190953	0.232721
chrX_par2	155014356	1.176152	0.234766
chrX_par2	155015601	1.176430	0.236230
chrX_par2	155015986	1.176651	0.236683
chrX_par2	155017649	3.621581	0.238640
chrX_par2	155017710	3.621403	0.238861
chrX_par2	155017869	6.645029	0.239437
chrX_par2	155018930	6.645081	0.246487
chrX_par2	155020278	6.644735	0.255445
chrX_par2	155020369	6.644397	0.256049
chrX_par2	155020391	6.644397	0.256196
chrX_par2	155020688	6.644212	0.258169
chrX_par2	155021163	6.625700	0.261325
chrX_par2	155021396	6.266442	0.262869
chrX_par2	155022057	2.143940	0.267011
chrX_par2	155022847	2.123884	0.268705
chrX_par2	155023274	2.055442	0.269612
chrX_par2	155024430	2.070892	0.271988
chrX_par2	155025184	2.066224	0.273549
chrX_par2	155025544	2.030448	0.274293
chrX_par2	155025670	1.931441	0.274549
chrX_par2	155026001	0.790149	0.275188
chrX_par2	155027035	0.764300	0.276005
chrX_par2	155028932	0.766777	0.277455
chrX_par2	155029108	0.769185	0.277590
chrX_par2	155030605	0.775412	0.278741
chrX_par2	155031129	0.778586	0.279148
chrX_par2	155031838	0.791456	0.279700
chrX_par2	155032321	0.793109	0.280082
chrX_par2	155032693	0.793743	0.280377
chrX_par2	155033604	0.747452	0.281100
chrX_par2	155033658	0.694958	0.281140
chrX_par2	155033885	0.633845	0.281298
chrX_par2	155036070	0.499503	0.282683
chrX_par2	155036679	0.368950	0.282987
chrX_par2	155037936	0.121436	0.283451
chrX_par2	155045646	0.121445	0.284387
chrX_par2	155045872	0.117413	0.284415
chrX_par2	155046643	0.115923	0.284505
chrX_par2	155046922	0.115077	0.284538
chrX_par2	155047247	0.115064	0.284575
chrX_par2	155049043	0.115102	0.284782
chrX_par2	155049269	0.114962	0.284808
chrX_par2	155058075	0.114953	0.285820
chrX_par2	155058093	0.114960	0.285822
chrX_par2	155058308	0.114961	0.285847
chrX_par2	155066052	0.114966	0.286737
chrX_par2	155071332	0.466858	0.287344
chrX_par2	155071400	0.879975	0.287376
chrX_par2	155071456	1.225382	0.287425
chrX_par2	155073731	1.255195	0.290213
chrX_par2	155073822	1.216079	0.290327
chrX_par2	155074360	1.197100	0.290981
chrX_par2	155075052	0.643507	0.291810
chrX_par2	155075626	0.540730	0.292179
chrX_par2	155075814	0.320813	0.292281
chrX_par2	155079034	0.319099	0.293314
chrX_par2	155079388	0.317374	0.293427
chrX_par2	155080830	0.316881	0.293885
chrX_par2	155081146	0.315865	0.293985
chrX_par2	155085824	0.316388	0.295462
chrX_par2	155086413	0.373616	0.295649
chrX_par2	155086475	0.373861	0.295672
chrX_par2	155086743	0.434331	0.295772
chrX_par2	155087341	0.481354	0.296032
chrX_par2	155091190	0.481984	0.297884
chrX_par2	155092794	0.762902	0.298658
chrX_par2	155093036	0.869985	0.298842
chrX_par2	155093113	0.844644	0.298909
chrX_par2	155093193	0.471673	0.298977
chrX_par2	155096106	0.472175	0.300351
chrX_par2	155096382	0.474408	0.300481
chrX_par2	155099895	0.493291	0.302148
chrX_par2	155100151	0.505175	0.302274
chrX_par2	155100197	0.512168	0.302297
chrX_par2	155101737	0.719779	0.303086
chrX_par2	155101861	1.163281	0.303175
chrX_par2	155103696	1.162826	0.305310
chrX_par2	155104608	1.164589	0.306370
chrX_par2	155104719	1.162703	0.306500
chrX_par2	155108755	1.137066	0.311192
chrX_par2	155108815	1.107674	0.311260
chrX_par2	155110332	1.107212	0.312941
chrX_par2	155113241	1.011880	0.316162
chrX_par2	155116853	0.998688	0.319817
chrX_par2	155119648	0.254729	0.322608
chrX_par2	155120950	0.241280	0.322940
chrX_par2	155121526	0.230669	0.323079
chrX_par2	155122783	0.219680	0.323368
chrX_par2	155123668	0.204007	0.323563
chrX_par2	155126059	0.256261	0.324051
chrX_par2	155127675	1.353471	0.324465
chrX_par2	155128309	0.227972	0.325323
chrX_par2	155129081	0.214719	0.325499
chrX_par2	155129332	0.174321	0.325553
chrX_par2	155129344	0.131122	0.325555
chrX_par2	155130863	0.084418	0.325754
chrX_par2	155130888	0.027626	0.325756
chrX_par2	155141985	0.027389	0.326063
chrX_par2	155148889	0.028038	0.326252
chrX_par2	155150020	0.031559	0.326284
chrX_par2	155150340	0.035787	0.326294
chrX_par2	155150393	0.040421	0.326296
chrX_par2	155150439	0.044788	0.326297
chrX_par2	155151086	0.058902	0.326326
chrX_par2	155152639	0.131699	0.326418
chrX_par2	155153822	0.174798	0.326574
chrX_par2	155155801	0.125496	0.326920
chrX_par2	155156672	0.069529	0.327029
chrX_par2	155158531	0.071383	0.327158
chrX_par2	155159703	0.091255	0.327242
chrX_par2	155169158	0.091854	0.328105
chrX_par2	155176144	0.105608	0.328746
chrX_par2	155177169	0.119333	0.328855
chrX_par2	155177486	0.135369	0.328892
chrX_par2	155181877	0.157719	0.329487
chrX_par2	155183030	0.177287	0.329669
chrX_par2	155184529	0.182515	0.329934
chrX_par2	155184866	0.178130	0.329996
chrX_par2	155189982	0.177203	0.330907
chrX_par2	155190793	0.155035	0.331051
chrX_par2	155193604	0.155035	0.331487
chrX_par2	155195900	0.141830	0.331843
chrX_par2	155208273	0.121109	0.333598
chrX_par2	155215434	0.129323	0.334465
chrX_par2	155215551	0.129305	0.334480
chrX_par2	155218417	0.168941	0.334851
chrX_par2	155218537	0.213225	0.334871
chrX_par2	155218843	0.190245	0.334936
chrX_par2	155219410	0.201803	0.335044
chrX_par2	155222332	0.725633	0.335634
chrX_par2	155223705	1.040817	0.336630
chrX_par2	155225523	1.040619	0.338522
chrX_par2	155226051	1.032129	0.339072
chrX_par2	155227607	1.037940	0.340678
chrX_par2	155228412	1.167016	0.341513
chrX_par2	155228572	1.169223	0.341700
chrX_par2	155229962	0.789443	0.343325
chrX_par2	155231616	0.780046	0.344631
chrX_par2	155234045	0.792730	0.346525
chrX_par2	155235078	0.000000	0.347344
